Movie,Year,Rank,Production_Countries,Genres,Domestic_Original,Worldwide_Original,Domestic_Adjusted,Foreign_Original,Worldwide_Adjusted,MedianIncome,Domestic_Adjusted_to_Income_Ratio,Domestic_to_Foreign_Ratio,InflationFactor,MedianIncome_YoY_Growth,Worldwide_Corrected
How the Grinch Stole Christmas,2000,6,"Germany, United States of America","Family, Comedy, Fantasy",207062698.23529413,345842198.0,260745620.0,85096578.0,345842198.0,37005.0,7046.226726118092,2.433267037310174,0.7941176470588236,,345842198.0
Gladiator,2000,2,"United Kingdom, United States of America","Action, Drama, Adventure",149060192.02941176,460583960.0,187705427.0,272878533.0,460583960.0,37005.0,5072.434184569653,0.5462510751236404,0.7941176470588236,0.0,460583960.0
X-Men,2000,9,United States of America,"Adventure, Action, Science Fiction",124914481.94117647,296339528.0,157299718.0,139039810.0,296339528.0,37005.0,4250.769301445751,0.8984080310608629,0.7941176470588236,0.0,296339528.0
What Women Want,2000,4,"United Kingdom, United States of America","Comedy, Romance",145174002.61764708,374111707.0,182811707.0,191300000.0,374111707.0,37005.0,4940.189352790164,0.7588813518956983,0.7941176470588236,0.0,374111707.0
What Lies Beneath,2000,10,United States of America,"Drama, Horror, Mystery, Thriller",123456984.61764707,291420351.0,155464351.0,135956000.0,291420351.0,37005.0,4201.171490339143,0.9080657316900105,0.7941176470588236,0.0,291420351.0
Mission: Impossible II,2000,1,United States of America,"Adventure, Action, Thriller",171060794.20588237,546388108.0,215409889.0,330978219.0,546388108.0,37005.0,5821.102256451831,0.516833992045508,0.7941176470588236,0.0,546388108.0
Meet the Parents,2000,7,United States of America,"Comedy, Romance",132017329.85294119,330444045.0,166244045.0,164200000.0,330444045.0,37005.0,4492.475206053236,0.804003226875403,0.7941176470588236,0.0,330444045.0
The Perfect Storm,2000,8,United States of America,"Action, Adventure, Drama, Thriller",145020521.11764708,328718434.0,182618434.0,146100000.0,328718434.0,37005.0,4934.966463991353,0.9926113697306439,0.7941176470588236,0.0,328718434.0
Cast Away,2000,3,United States of America,"Adventure, Drama",185531406.88235295,429632142.0,233632142.0,196000000.0,429632142.0,37005.0,6313.529036616674,0.9465888106242497,0.7941176470588236,0.0,429632142.0
Dinosaur,2000,5,United States of America,"Animation, Family, Adventure",109388167.6764706,349822765.0,137748063.0,212074702.0,349822765.0,37005.0,3722.417592217268,0.5158001715662937,0.7941176470588236,0.0,349822765.0
Jurassic Park III,2001,8,United States of America,"Adventure, Action, Thriller, Science Fiction",305727539.0625,368780809.0,181171875.0,187608934.0,368780809.0,38885.0,4659.171274270284,1.6296001077565954,1.6875,5.080394541278199,368780809.0
Harry Potter and the Sorcerer's Stone,2001,1,"United Kingdom, United States of America","Adventure, Fantasy",535908740.625,974755371.0,317575550.0,657179821.0,974755371.0,38885.0,8167.045133084737,0.8154674314398951,1.6875,0.0,974755371.0
Planet of the Apes,2001,9,United States of America,"Thriller, Science Fiction, Action, Adventure",303769811.25,362211740.0,180011740.0,182200000.0,362211740.0,38885.0,4629.336247910505,1.6672327730515917,1.6875,0.0,362211740.0
Shrek,2001,4,United States of America,"Animation, Comedy, Fantasy, Adventure, Family",451999964.8125,484596038.0,267851831.0,216744207.0,484596038.0,38885.0,6888.307342162788,2.085407361371831,1.6875,0.0,484596038.0
Hannibal,2001,10,"United Kingdom, United States of America","Crime, Drama, Thriller",278593202.25,351692268.0,165092268.0,186600000.0,351692268.0,38885.0,4245.654314002829,1.4929967966237943,1.6875,0.0,351692268.0
Pearl Harbor,2001,6,United States of America,"War, History, Romance, Drama, Action",335040559.875,449220945.0,198542554.0,250678391.0,449220945.0,38885.0,5105.890549054906,1.3365354649775139,1.6875,0.0,449220945.0
"Monsters, Inc.",2001,3,United States of America,"Animation, Comedy, Family",431786109.375,528773250.0,255873250.0,272900000.0,528773250.0,38885.0,6580.25588273113,1.582213665720044,1.6875,0.0,528773250.0
The Lord of the Rings: The Fellowship of the Ring,2001,2,"New Zealand, United States of America","Adventure, Fantasy, Action",528801942.375,868385360.0,313364114.0,555021246.0,868385360.0,38885.0,8058.740234023402,0.9527598198916515,1.6875,0.0,868385360.0
Ocean's Eleven,2001,5,United States of America,"Thriller, Crime",309516440.625,450717150.0,183417150.0,267300000.0,450717150.0,38885.0,4716.912691269127,1.157936553030303,1.6875,0.0,450717150.0
The Mummy Returns,2001,7,United States of America,"Adventure, Action, Fantasy",340908387.1875,433013274.0,202019785.0,230993489.0,433013274.0,38885.0,5195.314002828854,1.4758354820446908,1.6875,0.0,433013274.0
Star Wars: Episode II - Attack of the Clones,2002,4,United States of America,"Adventure, Action, Science Fiction",313813992.4615385,645256452.0,302191252.0,343065200.0,645256452.0,40696.0,7425.576272852369,0.9147357192205403,1.0384615384615385,4.657322875144665,645256452.0
The Lord of the Rings: The Two Towers,2002,1,"New Zealand, United States of America","Adventure, Fantasy, Action",352858722.57692313,923015234.0,339789881.0,583225353.0,923015234.0,40696.0,8349.466311185375,0.605012660649756,1.0384615384615385,0.0,923015234.0
Harry Potter and the Chamber of Secrets,2002,2,"United Kingdom, United States of America, Germany","Adventure, Fantasy",272064962.0769231,878979634.0,261988482.0,616991152.0,878979634.0,40696.0,6437.696137212502,0.4409543981222652,1.0384615384615385,0.0,878979634.0
My Big Fat Greek Wedding,2002,9,"Canada, United States of America","Comedy, Drama, Romance",250724292.92307696,368744044.0,241438208.0,127305836.0,368744044.0,40696.0,5932.725771574602,1.9694642508225386,1.0384615384615385,0.0,368744044.0
Signs,2002,7,United States of America,"Drama, Thriller, Science Fiction, Mystery",236734581.4615385,408247917.0,227966634.0,180281283.0,408247917.0,40696.0,5601.696333792019,1.3131400970867202,1.0384615384615385,0.0,408247917.0
Spider-Man,2002,3,United States of America,"Action, Science Fiction",419233543.2692308,821708551.0,403706375.0,418002176.0,821708551.0,40696.0,9920.05049636328,1.0029458393757997,1.0384615384615385,0.0,821708551.0
Men in Black II,2002,5,United States of America,"Action, Comedy, Science Fiction",197742603.11538464,441818803.0,190418803.0,251400000.0,441818803.0,40696.0,4679.054526243365,0.7865656448503765,1.0384615384615385,0.0,441818803.0
Die Another Day,2002,6,"Spain, United Kingdom, United States of America","Adventure, Action, Thriller",167132221.26923078,431971116.0,160942139.0,271028977.0,431971116.0,40696.0,3954.7409819146847,0.6166581268143545,1.0384615384615385,0.0,431971116.0
Ice Age,2002,8,United States of America,"Animation, Comedy, Family, Adventure",183171535.96153846,383257136.0,176387405.0,206869731.0,383257136.0,40696.0,4334.2688470611365,0.8854438736691665,1.0384615384615385,0.0,383257136.0
