Movie,Year,Production_Countries
Mission: Impossible II,2000,United States of America
Gladiator,2000,United Kingdom
Gladiator,2000,United States of America
Cast Away,2000,United States of America
What Women Want,2000,United Kingdom
What Women Want,2000,United States of America
Dinosaur,2000,United States of America
How the Grinch Stole Christmas,2000,Germany
How the Grinch Stole Christmas,2000,United States of America
Meet the Parents,2000,United States of America
The Perfect Storm,2000,United States of America
X-Men,2000,United States of America
What Lies Beneath,2000,United States of America
Harry Potter and the Sorcerer's Stone,2001,United Kingdom
Harry Potter and the Sorcerer's Stone,2001,United States of America
The Lord of the Rings: The Fellowship of the Ring,2001,New Zealand
The Lord of the Rings: The Fellowship of the Ring,2001,United States of America
"Monsters, Inc.",2001,United States of America
Shrek,2001,United States of America
Ocean's Eleven,2001,United States of America
Pearl Harbor,2001,United States of America
The Mummy Returns,2001,United States of America
Jurassic Park III,2001,United States of America
Planet of the Apes,2001,United States of America
Hannibal,2001,United Kingdom
Hannibal,2001,United States of America
The Lord of the Rings: The Two Towers,2002,New Zealand
The Lord of the Rings: The Two Towers,2002,United States of America
Harry Potter and the Chamber of Secrets,2002,United Kingdom
Harry Potter and the Chamber of Secrets,2002,United States of America
Harry Potter and the Chamber of Secrets,2002,Germany
Spider-Man,2002,United States of America
Star Wars: Episode II - Attack of the Clones,2002,United States of America
Men in Black II,2002,United States of America
Die Another Day,2002,Spain
Die Another Day,2002,United Kingdom
Die Another Day,2002,United States of America
Signs,2002,United States of America
Ice Age,2002,United States of America
My Big Fat Greek Wedding,2002,Canada
My Big Fat Greek Wedding,2002,United States of America
Minority Report,2002,United States of America
The Lord of the Rings: The Return of the King,2003,New Zealand
The Lord of the Rings: The Return of the King,2003,United States of America
Finding Nemo,2003,United States of America
The Matrix Reloaded,2003,United States of America
Pirates of the Caribbean: The Curse of the Black Pearl,2003,United States of America
Bruce Almighty,2003,United States of America
The Last Samurai,2003,New Zealand
The Last Samurai,2003,United States of America
Terminator 3: Rise of the Machines,2003,Germany
Terminator 3: Rise of the Machines,2003,United Kingdom
Terminator 3: Rise of the Machines,2003,United States of America
The Matrix Revolutions,2003,United States of America
X2: X-Men United,2003,United States of America
Bad Boys II,2003,United States of America
Shrek 2,2004,United States of America
